EPBC Number,Stem,Url,Under Review,Scraped
2007/3333,?id=fc2d044f-fbcd-e911-ae51-005056842ad1,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=fc2d044f-fbcd-e911-ae51-005056842ad1,True,2023/03/18
2010/5396,?id=1d92f6ca-6067-e511-b4b8-005056ba00ab,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=1d92f6ca-6067-e511-b4b8-005056ba00ab,True,2023/03/18
2011/5973,?id=b394f6ca-6067-e511-b4b8-005056ba00ab,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=b394f6ca-6067-e511-b4b8-005056ba00ab,True,2023/03/18
2013/6823,?id=5294f6ca-6067-e511-b4b8-005056ba00ab,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=5294f6ca-6067-e511-b4b8-005056ba00ab,True,2023/03/18
2003/1011,?id=3560fec4-6067-e511-b4b8-005056ba00ab,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=3560fec4-6067-e511-b4b8-005056ba00ab,True,2023/03/18
2012/6615,?id=f987eb5a-d279-e811-817f-005056ba00a7,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=f987eb5a-d279-e811-817f-005056ba00a7,True,2023/03/18
2015/7552,?id=723a831c-6452-ec11-80cf-00505684c137,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=723a831c-6452-ec11-80cf-00505684c137,True,2023/03/18
2013/7060,?id=2429205b-23ac-e911-ad32-00505684324c,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=2429205b-23ac-e911-ad32-00505684324c,True,2023/03/18
2006/3155,?id=ba93f6ca-6067-e511-b4b8-005056ba00ab,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=ba93f6ca-6067-e511-b4b8-005056ba00ab,True,2023/03/18
2001/529,?id=7b92c686-3e3f-e711-998c-005056ba00a8,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=7b92c686-3e3f-e711-998c-005056ba00a8,True,2023/03/18
2012/6448,?id=cd2e2722-2853-ec11-80cf-00505684c137,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=cd2e2722-2853-ec11-80cf-00505684c137,True,2023/03/18
2006/3208,?id=cb93f6ca-6067-e511-b4b8-005056ba00ab,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=cb93f6ca-6067-e511-b4b8-005056ba00ab,True,2023/03/18
2002/576,?id=1460fec4-6067-e511-b4b8-005056ba00ab,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=1460fec4-6067-e511-b4b8-005056ba00ab,True,2023/03/18
2006/3211,?id=d130a5e6-473f-e711-b32b-005056ba00a7,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=d130a5e6-473f-e711-b32b-005056ba00a7,True,2023/03/18
2005/2059,?id=8393f6ca-6067-e511-b4b8-005056ba00ab,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=8393f6ca-6067-e511-b4b8-005056ba00ab,True,2023/03/18
2005/1996,?id=7d93f6ca-6067-e511-b4b8-005056ba00ab,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=7d93f6ca-6067-e511-b4b8-005056ba00ab,True,2023/03/18
2011/5965,?id=5f8231d8-9cf5-e711-b191-005056ba00a8,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=5f8231d8-9cf5-e711-b191-005056ba00a8,True,2023/03/18
2007/3442,?id=fc93f6ca-6067-e511-b4b8-005056ba00ab,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=fc93f6ca-6067-e511-b4b8-005056ba00ab,True,2023/03/18
